                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.58683,                0.55444,                0.82939,                0.90585,                 0.7983,                0.90024,                0.75523,                0.60309,                0.45978,                0.83351,               0.003763,               0.003763,               0.003763
                     65,                0.58212,                0.55174,                0.82818,                0.90908,                0.79684,                 0.9004,                0.75545,                0.60277,                0.45937,                0.83344,               0.003664,               0.003664,               0.003664
                     66,                0.58293,                0.54828,                0.82786,                0.90752,                0.79842,                0.90051,                0.75536,                0.60266,                0.45855,                0.83338,               0.003565,               0.003565,               0.003565
                     67,                0.58414,                 0.5455,                0.82882,                0.90763,                0.79825,                0.90057,                0.75574,                0.60199,                0.45818,                0.83328,               0.003466,               0.003466,               0.003466
                     68,                0.58022,                0.54414,                0.82917,                0.90831,                0.79842,                0.90065,                0.75563,                 0.6018,                0.45802,                0.83326,               0.003367,               0.003367,               0.003367
                     69,                0.57997,                0.54516,                0.82643,                0.90611,                0.79934,                0.90076,                0.75584,                 0.6014,                0.45763,                0.83316,               0.003268,               0.003268,               0.003268
                     70,                0.57904,                0.54369,                0.82617,                0.90542,                0.80057,                0.90096,                0.75604,                0.60097,                0.45706,                0.83308,               0.003169,               0.003169,               0.003169
                     71,                0.57308,                0.53331,                0.82584,                0.90512,                0.80077,                0.90112,                 0.7564,                0.60084,                0.45695,                0.83306,                0.00307,                0.00307,                0.00307
                     72,                0.57647,                0.54051,                 0.8296,                0.90422,                0.80127,                0.90125,                0.75674,                0.60053,                0.45621,                  0.833,               0.002971,               0.002971,               0.002971
                     73,                0.57317,                0.53216,                0.82781,                0.90374,                0.80163,                0.90148,                0.75679,                0.60054,                0.45549,                0.83295,               0.002872,               0.002872,               0.002872
                     74,                0.57159,                0.53319,                0.82588,                0.90414,                0.80232,                0.90166,                0.75715,                0.60024,                0.45491,                0.83289,               0.002773,               0.002773,               0.002773
                     75,                0.57106,                0.52904,                0.82506,                0.90511,                0.80134,                0.90182,                0.75732,                0.59994,                0.45447,                0.83284,               0.002674,               0.002674,               0.002674
                     76,                  0.569,                0.52603,                0.82666,                  0.906,                0.80157,                0.90192,                0.75752,                0.59951,                0.45411,                0.83271,               0.002575,               0.002575,               0.002575
                     77,                0.56885,                0.52496,                0.82529,                0.90532,                0.80209,                0.90207,                 0.7579,                0.59933,                0.45382,                0.83266,               0.002476,               0.002476,               0.002476
                     78,                0.56304,                0.51911,                 0.8241,                0.90503,                0.80195,                0.90224,                0.75803,                0.59924,                0.45343,                0.83261,               0.002377,               0.002377,               0.002377
                     79,                 0.5639,                0.52106,                0.82564,                0.90494,                0.80185,                0.90235,                 0.7582,                  0.599,                0.45255,                 0.8326,               0.002278,               0.002278,               0.002278
                     80,                0.56345,                 0.5178,                0.82483,                0.90528,                 0.8016,                0.90251,                0.75839,                0.59891,                 0.4524,                0.83253,               0.002179,               0.002179,               0.002179
                     81,                0.55985,                0.51485,                0.82384,                0.90467,                0.80199,                0.90265,                0.75859,                0.59865,                0.45201,                0.83247,                0.00208,                0.00208,                0.00208
                     82,                   0.56,                0.51714,                0.82465,                0.90633,                0.80116,                0.90278,                0.75876,                 0.5983,                0.45147,                0.83237,               0.001981,               0.001981,               0.001981
                     83,                0.56017,                0.51001,                0.82487,                0.90488,                 0.8017,                0.90296,                0.75928,                0.59819,                0.45124,                0.83238,               0.001882,               0.001882,               0.001882
                     84,                0.55681,                0.51115,                0.82283,                0.90474,                0.80266,                0.90312,                0.75933,                0.59783,                0.45066,                0.83231,               0.001783,               0.001783,               0.001783
                     85,                0.55749,                0.50791,                 0.8228,                0.90486,                0.80278,                0.90325,                0.75922,                0.59737,                 0.4501,                0.83222,               0.001684,               0.001684,               0.001684
                     86,                0.55877,                0.51096,                0.82546,                0.90411,                0.80359,                0.90344,                0.75982,                0.59704,                0.44947,                0.83215,               0.001585,               0.001585,               0.001585
                     87,                0.55462,                0.50292,                0.82394,                0.90345,                0.80326,                0.90358,                0.75996,                0.59655,                0.44928,                0.83208,               0.001486,               0.001486,               0.001486
                     88,                0.54983,                 0.4996,                0.82205,                0.90294,                0.80376,                0.90375,                0.76011,                0.59625,                 0.4488,                0.83198,               0.001387,               0.001387,               0.001387
                     89,                0.55278,                0.49651,                0.82335,                0.90499,                0.80247,                0.90388,                0.76035,                0.59619,                0.44866,                0.83199,               0.001288,               0.001288,               0.001288
                     90,                0.55079,                0.49574,                0.82125,                0.90676,                0.80201,                0.90399,                0.76057,                0.59585,                0.44828,                0.83191,               0.001189,               0.001189,               0.001189
                     91,                0.54953,                0.49604,                0.82204,                0.90706,                0.80219,                0.90411,                0.76062,                 0.5958,                0.44806,                0.83189,                0.00109,                0.00109,                0.00109
                     92,                0.54396,                0.49086,                0.82148,                0.90726,                0.80148,                0.90424,                0.76097,                0.59559,                0.44781,                0.83188,               0.000991,               0.000991,               0.000991
                     93,                0.55311,                0.49427,                0.82289,                0.90701,                0.80295,                0.90439,                 0.7612,                0.59557,                0.44773,                0.83185,               0.000892,               0.000892,               0.000892
                     94,                0.54488,                0.48659,                0.82081,                0.90848,                0.80216,                0.90455,                0.76129,                0.59525,                0.44757,                0.83181,               0.000793,               0.000793,               0.000793
                     95,                0.53971,                0.48262,                 0.8208,                0.90791,                0.80215,                0.90468,                0.76159,                0.59495,                0.44755,                0.83178,               0.000694,               0.000694,               0.000694
                     96,                0.54345,                0.48395,                0.81988,                0.90747,                0.80281,                0.90479,                0.76175,                0.59471,                0.44727,                0.83173,               0.000595,               0.000595,               0.000595
                     97,                0.54054,                0.47831,                0.82178,                0.90702,                0.80372,                0.90496,                0.76215,                0.59455,                0.44703,                0.83168,               0.000496,               0.000496,               0.000496
                     98,                0.54134,                0.48198,                0.82173,                0.90619,                0.80454,                0.90518,                0.76221,                0.59438,                0.44681,                0.83158,               0.000397,               0.000397,               0.000397
                     99,                0.53808,                0.47771,                0.82132,                0.90806,                0.80381,                0.90531,                0.76252,                0.59453,                0.44666,                0.83156,               0.000298,               0.000298,               0.000298
                    100,                0.53321,                  0.469,                0.82009,                0.90803,                 0.8046,                0.90544,                0.76292,                0.59416,                0.44613,                0.83145,               0.000199,               0.000199,               0.000199
