                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.88056,                0.91351,                0.92246,                0.85125,                0.69026,                0.81835,                0.48259,                 1.4842,                0.88966,                 1.1549,              0.0066118,              0.0066118,              0.0066118
                     58,                0.88034,                0.92172,                0.92477,                 0.8628,                0.68085,                0.81928,                 0.6037,                 0.9577,                0.79894,                0.92803,              0.0065642,              0.0065642,              0.0065642
                     59,                0.91259,                0.93209,                0.92873,                 0.8475,                0.70075,                0.82891,                 0.6074,                0.97602,                 0.7765,                0.93451,               0.006516,               0.006516,               0.006516
                     60,                0.88521,                0.91225,                0.92485,                0.84435,                0.69266,                0.81753,                0.49431,                 1.4266,                0.86249,                 1.1039,              0.0064671,              0.0064671,              0.0064671
                     61,                 0.8872,                0.93932,                0.92621,                0.84702,                0.69871,                0.82265,                0.53464,                 1.2529,                0.82385,                 1.0314,              0.0064177,              0.0064177,              0.0064177
                     62,                0.88414,                0.91515,                0.92665,                0.84759,                0.71338,                0.83175,                0.56791,                 1.1741,                0.79354,                 1.0046,              0.0063676,              0.0063676,              0.0063676
                     63,                0.88338,                0.92165,                0.92351,                0.85114,                0.71321,                0.83163,                0.58639,                 1.0786,                0.76374,                0.97405,               0.006317,               0.006317,               0.006317
                     64,                0.86626,                0.91448,                0.91785,                0.84517,                0.69441,                 0.8233,                0.45527,                 1.6229,                0.92479,                 1.2107,              0.0062659,              0.0062659,              0.0062659
                     65,                0.87364,                0.90968,                0.92286,                0.86168,                 0.6971,                0.81868,                0.57061,                 1.1114,                 0.8008,                0.98175,              0.0062141,              0.0062141,              0.0062141
                     66,                 0.8589,                0.89115,                0.91713,                0.87184,                0.71476,                 0.8385,                0.59751,                 1.0569,                0.74262,                0.96574,              0.0061619,              0.0061619,              0.0061619
                     67,                0.86461,                 0.8875,                0.91442,                0.87499,                0.70224,                0.83186,                0.40959,                 1.8325,                0.89781,                 1.4005,              0.0061091,              0.0061091,              0.0061091
                     68,                0.86383,                0.90015,                0.91774,                0.83995,                0.71054,                0.82868,                0.56859,                 1.1547,                0.80687,                0.99046,              0.0060558,              0.0060558,              0.0060558
                     69,                 0.8737,                0.91657,                0.92252,                0.85827,                0.70082,                0.82526,                0.56331,                 1.1595,                0.97546,                 1.0035,               0.006002,               0.006002,               0.006002
                     70,                0.86304,                0.89824,                0.91826,                0.86639,                0.70526,                 0.8333,                0.54749,                 1.2066,                0.78435,                   1.06,              0.0059477,              0.0059477,              0.0059477
                     71,                0.85184,                 0.8778,                0.91524,                0.86594,                0.71653,                0.84364,                0.59088,                 1.0885,                0.74642,                0.98622,               0.005893,               0.005893,               0.005893
                     72,                0.85181,                0.86443,                0.91386,                 0.8571,                 0.7222,                0.84451,                0.59458,                 1.0781,                0.74615,                0.96502,              0.0058378,              0.0058378,              0.0058378
                     73,                0.83373,                0.86889,                0.90797,                0.87363,                0.70531,                0.83659,                 0.5582,                 1.2219,                0.77632,                 1.0159,              0.0057822,              0.0057822,              0.0057822
